question_id,split,stage,gold_answer,current_majority_answer,final_majority_answer,current_majority_correct,final_majority_correct,majority_will_change,continue_label,num_attempts,num_valid_answers,num_unique_answers,missing_answer_count,top_vote_share,second_vote_share,vote_margin,answer_entropy,latest_matches_majority,unanimous,majority_changed,majority_change_count,consecutive_agreement,average_output_tokens,total_output_tokens
train_0000,train,2,108,108,108,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,170.0,340
train_0000,train,3,108,108,108,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,173.33333333333334,520
train_0000,train,4,108,108,108,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,173.5,694
train_0001,train,2,24,24,24,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,214.5,429
train_0001,train,3,24,24,24,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,232.0,696
train_0001,train,4,24,24,24,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,236.0,944
train_0002,train,2,18,18,18,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,163.0,326
train_0002,train,3,18,18,18,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,176.33333333333334,529
train_0002,train,4,18,18,18,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,179.5,718
train_0003,train,2,114,114,114,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,187.0,374
train_0003,train,3,114,114,114,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,173.66666666666666,521
train_0003,train,4,114,114,114,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,168.5,674
train_0004,train,2,66,66,66,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,271.0,542
train_0004,train,3,66,66,66,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,278.0,834
train_0004,train,4,66,66,66,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,327.0,1308
train_0005,train,2,1350,1350,1350,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,110.0,220
train_0005,train,3,1350,1350,1350,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,111.33333333333333,334
train_0005,train,4,1350,1350,1350,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,115.25,461
train_0006,train,2,1350,1350,1350,True,True,False,False,2,2,2,0,0.5,0.5,0.0,1.0,True,False,True,1,1,175.0,350
train_0006,train,3,1350,1350,1350,True,True,False,False,3,3,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9182958340544896,True,False,False,1,2,171.66666666666666,515
train_0006,train,4,1350,1350,1350,True,True,False,False,4,4,2,0,0.75,0.25,0.5,0.8112781244591328,True,False,False,1,3,164.25,657
train_0007,train,2,40,40,40,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,98.5,197
train_0007,train,3,40,40,40,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,98.33333333333333,295
train_0007,train,4,40,40,40,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,100.25,401
train_0008,train,2,1000,1000,1000,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,240.5,481
train_0008,train,3,1000,1000,1000,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,219.33333333333334,658
train_0008,train,4,1000,1000,1000,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,223.0,892
train_0009,train,2,9500,12000,12000,False,False,False,False,2,2,2,0,0.5,0.5,0.0,1.0,True,False,True,1,1,166.0,332
train_0009,train,3,9500,12000,12000,False,False,False,False,3,3,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9182958340544896,True,False,False,1,2,162.33333333333334,487
train_0009,train,4,9500,12000,12000,False,False,False,False,4,4,2,0,0.75,0.25,0.5,0.8112781244591328,True,False,False,1,3,160.75,643
train_0010,train,2,3450,3450,3450,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,124.0,248
train_0010,train,3,3450,3450,3450,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,125.66666666666667,377
train_0010,train,4,3450,3450,3450,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,128.5,514
train_0011,train,2,800,1350,800,False,True,True,True,2,2,2,0,0.5,0.5,0.0,1.0,True,False,True,1,1,247.0,494
train_0011,train,3,800,800,800,True,True,False,False,3,3,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9182958340544896,True,False,True,2,1,245.66666666666666,737
train_0011,train,4,800,800,800,True,True,False,False,4,4,2,0,0.75,0.25,0.5,0.8112781244591328,True,False,False,2,2,262.0,1048
train_0012,train,2,7,7,7,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,209.5,419
train_0012,train,3,7,7,7,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,221.0,663
train_0012,train,4,7,7,7,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,212.0,848
train_0013,train,2,26,26,26,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,129.5,259
train_0013,train,3,26,26,26,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,141.33333333333334,424
train_0013,train,4,26,26,26,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,137.75,551
train_0014,train,2,810,690,810,False,True,True,True,2,2,2,0,0.5,0.5,0.0,1.0,True,False,True,1,1,406.0,812
train_0014,train,3,810,810,810,True,True,False,False,3,3,2,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9182958340544896,True,False,True,2,1,382.0,1146
train_0014,train,4,810,810,810,True,True,False,False,4,4,2,0,0.75,0.25,0.5,0.8112781244591328,True,False,False,2,2,352.0,1408
train_0015,train,2,56,56,56,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,285.0,570
train_0015,train,3,56,56,56,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,265.0,795
train_0015,train,4,56,56,56,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,257.75,1031
train_0016,train,2,70,70,70,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,217.5,435
train_0016,train,3,70,70,70,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,228.0,684
train_0016,train,4,70,70,70,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,224.5,898
train_0017,train,2,223,223,223,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,322.5,645
train_0017,train,3,223,223,223,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,308.3333333333333,925
train_0017,train,4,223,223,223,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,301.25,1205
train_0018,train,2,360000,360000,360000,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,189.0,378
train_0018,train,3,360000,360000,360000,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,182.0,546
train_0018,train,4,360000,360000,360000,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,196.75,787
train_0019,train,2,20,20,20,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,192.0,384
train_0019,train,3,20,20,20,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,190.66666666666666,572
train_0019,train,4,20,20,20,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,186.5,746
train_0020,train,2,56,56,56,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,288.0,576
train_0020,train,3,56,56,56,True,True,False,False,3,3,1,0,1.0,0.0,1.0,0.0,True,True,False,0,3,276.6666666666667,830
train_0020,train,4,56,56,56,True,True,False,False,4,4,1,0,1.0,0.0,1.0,0.0,True,True,False,0,4,280.25,1121
train_0021,train,2,1,1,1,True,True,False,False,2,2,1,0,1.0,0.0,1.0,0.0,True,True,False,0,2,199.5,399
